10.1158/0008-5472.can-20-4010	Implications of enhancer transcription and eRNAs in cancer
10.1093/jnci/83.11.775	Tumor Cell Invasion Inhibited by TIMP
10.1128/mcb.00398-08	Embryonic stem cell-specific miR302-367 cluster: human gene structure and functional characterization of its core promoter
10.1002/pmic.200700054	"Unique proteomic features induced by a potential antiglioma agent, Nordy (dl?nordihydroguaiaretic acid), in glioma cells"
10.1158/2159-8290.cd-15-1263	The master neural transcription factor BRN2 is an androgen receptor–suppressed driver of neuroendocrine differentiation in prostate cancer
10.1158/0008-5472.can-13-0530	Adipocyte-derived fibroblasts promote tumor progression and contribute to the desmoplastic reaction in breast cancer
10.1158/1538-7445.am2012-3343	Upregulation of SOX5 perturbs human glioma cell proliferation and is associated with proneural glioblastoma
10.1111/j.1755-148x.2011.00849.x	Melanoma cell invasiveness is regulated by miR?211 suppression of the BRN2 transcription factor
10.1038/349038a0	A gene from the region of the human X inactivation centre is expressed exclusively from the inactive X chromosome
10.1016/j.biocel.2015.08.011	Let-7g induces granulosa cell apoptosis by targeting MAP3K1 in the porcine ovary
10.5214/ans.0972-7531.1017207	CXCL12/CXCR4 promotes motility and proliferation of glioma cells
10.3389/fmolb.2020.607740	CRISPR-Cas13a targeting the Enhancer RNA-SMAD7e inhibits bladder cancer development both in vitro and in vivo
10.1016/j.bbrc.2006.02.113	"Nordy, a synthetic lipoxygenase inhibitor, inhibits the expression of formylpeptide receptor and induces differentiation of malignant glioma cells"
10.18632/oncotarget.7003	MiR-129 triggers autophagic flux by regulating a novel Notch-1/E2F7/Beclin-1 axis to impair the viability of human malignant glioma cells
10.3892/or.2017.5944	miR-133b acts as a tumor suppressor and negatively regulates ATP citrate lyase via PPAR? in gastric cancer
10.1038/cddis.2017.225	Human cancer-associated fibroblasts enhance glutathione levels and antagonize drug-induced prostate cancer cell death
10.1038/s41598-022-04869-w	Targeting of non-coding RNAs encoded by novel MYC enhancers inhibits the proliferation of human hepatic carcinoma cells in vitro
10.1016/j.cub.2007.01.024	"HEDGEHOG-GLI1 signaling regulates human glioma growth, cancer stem cell self-renewal, and tumorigenicity"
10.1186/1471-2407-13-478	Decreased miR-106a inhibits glioma cell glucose uptake and proliferation by targeting SLC2A3 in GBM
10.5137/1019-5149.jtn.26122-19.1	Inhibition of the invasion of human glioblastoma U87 cell line by ruxolitinib: a molecular player of miR-17 and miR-20a regulating JAK/STAT pathway
10.1158/0008-5472.can-13-3710	MicroRNA100 inhibits self-renewal of breast cancer stem–like cells and breast tumor development
10.1093/cercor/bhs252	"POU-III transcription factors (Brn1, Brn2, and Oct6) influence neurogenesis, molecular identity, and migratory destination of upper-layer cells of the cerebral cortex"
10.1016/j.canlet.2008.09.034	CXCR4 mediates the proliferation of glioblastoma progenitor cells
10.1227/01.neu.0000290905.53685.a2	Preferential expression of chemokine receptor CXCR4 by highly malignant human gliomas and its association with poor patient survival
10.1371/journal.pone.0043452	Colorectal cancer migration and invasion initiated by microRNA-106a
10.1016/j.ydbio.2008.11.016	miR-17 family miRNAs are expressed during early mammalian development and regulate stem cell differentiation
10.1016/j.molimm.2019.10.026	LncRNA NEAT1 sponges miR-214 to regulate M2 macrophage polarization by regulation of B7-H3 in multiple myeloma
10.1128/mcb.00359-08	Oct4/Sox2-regulated miR-302 targets cyclin D1 in human embryonic stem cells
10.3389/fgene.2021.633812	Immunogenomic Profiling Demonstrate AC003092. 1 as an Immune-Related eRNA in Glioblastoma Multiforme
10.1111/cpr.13202	Enhancer RNA: What we know and what we can achieve
10.1007/s12035-015-9140-3	Prognostic role of microRNA-21 expression in brain tumors: a meta-analysis
